0820230510303300003000400JOAN                     LLOPIS                   SUCH                     M00000000          004N
0820230510303300003000400JORGE JOSE               CORTES                   MARTINEZ                 M00000000          006N
0820230510303300003000400MARIA                    ESTEBAN                  CORTES                   F00000000          004N
0820230510303300003000400NOELIA                   PUJANTE                  GARRIDO                  F00000000          004N
0820230510303300003000400VICENTE JOSE             JORRO                    SUCH                     M00000000          000N
0820230510303300012900100AMBROSIO                 ARANDA                   LARA                     M00000000          001N
0820230510303300012900100ANGELA                   SERRAT                   GUARINOS                 F00000000          001N
0820230510303300012900100JAUME                    SAVAL                    DEVESA                   M00000000          000N
0820230510303300012900100RAMIR MIQUEL             DURA                     TORRES                   M00000000          001N
0820230510303300012900100ROSER                    DURA                     RONDA                    F00000000          001N
0820230510303600000605705DAVID                    BLANQUER                 JORDA                    M00000000          048S
0820230510303600000605705FRANCISCO                FERRANDO                 IVORRA                   M00000000          032S
0820230510303600000605705JAVIER                   NAVARRO                  ADRIAN                   M00000000          059S
0820230510303600000605705JOSE MARIA               VERDU                    GARCIA                   M00000000          048S
0820230510303600000605705MARCELA                  BLANQUER                 JORDA                    F00000000          041S
0820230510303600003000300JAVIER                   LERMA                    LLORCA                   M00000000          004N
0820230510303600003000300MARÍA ISABEL             RIBERA                   ASENSI                   F00000000          003N
0820230510303600013000200FRANCISCO                GARCIA                   RIERA                    M00000000          004N
0820230510303600013000200JOSE RICARDO             DOMENECH                 DURÀ                     M00000000          000N
0820230510303600013000200MARIA NIEVES             GRAU                     MARTINEZ                 F00000000          004N
0820230510306000000602901DAVID                    REIG                     MOLLA                    M00000000          026N
0820230510306000000602901FERNANDO                 PALOMARES                BEZUNARTEA               M00000000          037S
0820230510306000000602901PERFECTO                 SANSALVADOR              BOTELLA                  M00000000          031N
0820230510306000000602901SILVIA                   SOLER                    CANDELA                  F00000000          025N
0820230510306000003005004ALEJANDRO                MONTAVA                  MARTÍNEZ                 M00000000          055S
0820230510306000003005004JORDI                    ALVADO                   LLORENÇ                  M00000000          046S
0820230510306000003005004JULIO                    GADEA                    BRAVO                    M00000000          053S
0820230510306000003005004MARÍA MILAGROS           MARTÍNEZ                 ESCUDERO                 F00000000          048S
0820230510306700000603101JESUS SALVADOR           PEREZ                    PEREZ                    M00000000          029N
0820230510306700000603101MIGUEL ANGEL             MASANET                  MATEU                    M00000000          034S
0820230510306700000603101SERGIO                   VERDU                    VERDU                    M00000000          030N
0820230510306700003006304ALFRED                   LLODRÁ                   FERRER                   M00000000          061S
0820230510306700003006304ISMAEL                   VIDAL                    SONEIRA                  M00000000          067S
0820230510306700003006304JORGE                    MASANET                  PASTOR                   M00000000          064S
0820230510306700003006304NÚRIA                    LLODRÁ                   GARCÍA                   F00000000          063S
0820230510306700017200000CONCEPCION               OLID                     NUÑEZ                    F00000000          000N
0820230510306700017200000FERRAN                   PARADA                   I RIVELLES               M00000000          000N
0820230510306700017200000FRANCESC FELIP           ARACIL                   PEREZ                    M00000000          000N
0820230510308600000601200MARIA ASUNCION           GOMIS                    MATEU                    F00000000          012N
0820230510308600000601200PAULA                    PICO                     CERDA                    F00000000          016N
0820230510308600000601200VERONICA BELEN           LARCO                    CHACON                   F00000000          008N
0820230510308600003011705CÉSAR FRANCISCO          GARCÍA                   BONET                    M00000000          125S
0820230510308600003011705JOSEP ANTONI             ALÓS                     I MIRA                   M00000000          096S
0820230510308600003011705JOSEP MIQUEL             FERRANDO                 GUARDIOLA                M00000000          093S
0820230510308600003011705MARÍA JOSÉ               RIPOLL                   CARDONA                  F00000000          063S
0820230510308600003011705MARIANO                  CARDONA                  TORTOSA                  M00000000          093S
0820230510308600018900700EMILIANA                 SUAREZ                   RODRIGUEZ                F00000000          011N
0820230510308600018900700FRANCISCO                VAZQUEZ                  VESES                    M00000000          006N
0820230510308600018900700JOSE                     CANTON                   VITORIA                  M00000000          004N
0820230510313400000606002JUAN JOSE                SENDRA                   NADAL                    M00000000          060N
0820230510313400000606002JUAN JOSE                SENDRA                   NADAL                    M00000000          061S
0820230510313400000606002VICENTE                  ALCARAZ                  GASCO                    M00000000          056N
0820230510313400000606002VICENT                   LLODRA                   RUZ                      M00000000          063S
0820230510313400003006303ALEXANDRA                EFIMENCO                 EFIMENCO                 F00000000          052N
0820230510313400003006303ENRIQUE                  MEZQUIDA                 CERVERA                  M00000000          067S
0820230510313400003006303INMACULADA               NADAL                    CAMPS                    F00000000          068S
0820230510313400003006303PABLO                    MARTÍNEZ                 SARCH                    M00000000          066S
0820230510313400024600000FERRAN                   ESCRIVÁ                  CASANOVA                 M00000000          000N
0820230510313400024600000FUENSANTA                BATALLER                 BURGUERA                 F00000000          000N
0820230510313500000600400CARLOS                   ALVAREZ                  PIC                      M00000000          008N
0820230510313500000600400JOAQUÍN                  COMPANY                  LLORENS                  M00000000          002N
0820230510313500000600400MANUEL RICARDO           RODRÍGUEZ                PITALUGA                 M00000000          004N
0820230510313500000600400MARÍA CARMEN             TIRADO                   GARCÍA                   F00000000          000N
0820230510313500000600400ROSA ANA                 DEVESA                   LLEDO                    F00000000          002N
0820230510313500003005701CRISTINA INES            FRAU                     ALEMANY                  F00000000          045N
0820230510313500003005701JUAN VICENTE             MOLL                     MEGUAL                   M00000000          062S
0820230510313500003005701LEONOR NAZARIA           JIMÉNEZ                  DAMASO                   F00000000          039N
0820230510313500003005701ROSA                     LLOPIS                   APARISI                  F00000000          041N
0820230510313500003005701TERESA                   BARBER                   MASANET                  F00000000          043N
0820230510313500024708604CESAR                    CORTELL                  MOLL                     M00000000          066S
0820230510313500024708604NICOLAS                  MENGUAL                  BARBER                   M00000000          091S
0820230510313500024708604PASCUAL                  DURÀ                     CÓRDOBA                  M00000000          085S
0820230510313500024708604SARA                     MOLL                     MONTANER                 F00000000          105S
0820230510400900000606605FRANCISCO                MARTÍNEZ                 ÁVALOS                   M00000000          047S
0820230510400900000606605JUAN BLAS                MARTÍNEZ                 SÁNCHEZ                  M00000000          060S
0820230510400900000606605JUAN MANUEL              SÁNCHEZ                  PÉREZ                    M00000000          055S
0820230510400900000606605SAGRARIO DEL ROSARIO     SÁEZ                     LATORRE                  F00000000          050S
0820230510400900000606605TRINIDAD ISABEL          PÉREZ                    MORALES                  F00000000          055S
0820230510400900000701700JOSE ANTONIO             ALCARAZ                  BECERRA                  M00000000          022N
0820230510400900000701700JOSE                     TEJEDOR                  GONZALEZ                 M00000000          012N
0820230510400900003000700EMILIA                   JIMENEZ                  MUÑOZ                    F00000000          007N
0820230510400900003000700JOSE MARIA               GARRIDO                  RAMOS                    M00000000          008N
0820230510400900003000700JOSE MARIA               MOLINA                   CAÑADAS                  M00000000          003N
0820230510400900003000700LAURA                    NEGRILLO                 LOPEZ                    F00000000          010N
0820230510400900003000700RICARDO ANTONIO          ROS                      ORTIZ                    M00000000          000N
0820230510401200000602701ISABEL MARÍA             VILLEGAS                 SÁNCHEZ                  F00000000          001N
0820230510401200000602701LUIS                     SALINAS                  IGUIÑO                   M00000000          027N
0820230510401200000602701MANUEL SEBASTIÁN         QUIRANTES                LORENZO                  M00000000          034S
0820230510401200000602701NOELIA                   LATORRE                  DÍAZ                     F00000000          026N
0820230510401200000602701RAFAEL                   GUALDA                   MORENO                   M00000000          022N
0820230510401200000700400JOSÉ                     ALONSO                   PRIETO                   M00000000          004N
0820230510401200003011604ANTONIO                  NAVARRO                  LÓPEZ                    M00000000          115S
0820230510401200003011604ANTONIO                  RODRÍGUEZ                GÁLVEZ                   M00000000          120S
0820230510401200003011604MARÍA DEL MAR            SALVALDOR                CORTÉS                   F00000000          119S
0820230510401200003011604MARÍA TERESA             NAVARRO                  LORENZO                  F00000000          111S
0820230510401200026300100EDUARDO                  LANDINES                 TORTOSA                  M00000000          001N
0820230510401400000605101CARMEN                   QUIRANTES                FERNÁNDEZ                F00000000          044N
0820230510401400000605101DIEGO                    MIRANDA                  LÓPEZ                    M00000000          050N
0820230510401400000605101ISABEL MARÍA             MIRANDA                  MIRANDA                  F00000000          070S
0820230510401400000605101JOSÉ MANUEL              MONTOYA                  MARTÍN                   M00000000          043N
0820230510401400000605101MARÍA CONCEPCIÓN         CABALLERO                REAL                     F00000000          000N
0820230510401400000700000MARIA CRISTINA           PRIETO                   CALVENTE                 F00000000          000N
