042023051011402999Fuente Obejuna                                                                                      005205203200004462000100000388800003887000000110000000000001724000022450000004100000071000026320110000000000000000S
042023051011403099Fuente Palmera                                                                                      005305303300009879000130000798100007981000001040000000000003195000046550000007300000089000056060130000000000000000S
042023051011403199Fuente-Tójar                                                                                        005505500700000663000010000058200000582000000130000000000000279000004010000000100000006000005050070000000000000000S
042023051011403299La Granjuela                                                                                        005205203200000414000010000035700000357000000010000000000000208000002690000000300000016000003060070000000000000000S
042023051011403399Guadalcázar                                                                                         005305301200001552000020000122000001220000000000000000000000481000007090000001400000015000009050090000000000000000S
042023051011403499El Guijo                                                                                            005405403200000344000010000028600000286000000000000000000000132000002080000000200000009000002440070000000000000000S
042023051011403599Hinojosa del Duque                                                                                  005205203200006640000100000560300005601000000150000000000002579000033770000006000000073000041200130000000000000000S
042023051011403699Hornachuelos                                                                                        005305303300004450000070000368300003685000000310000000000001647000022380000002300000046000026810110000000000000000S
042023051011403799Iznájar                                                                                             003803800700004002000070000307900003079000000760000000000001137000016380000003500000095000020190110000000000000000S
042023051011403899Lucena                                                                                              003803800700042645000440003327800033280000002320000000000012045000165810000020800000266000199650210000000000000000S
042023051011403999Luque                                                                                               000700700700002926000030000248300002483000000150000000000001180000017240000003200000042000020490110000000000000000S
042023051011404099Montalbán de Córdoba                                                                                004204200700004494000050000368000003680000000000000000000001723000022510000004700000049000026360110000000000000000S
042023051011404199Montemayor                                                                                          004204200700003869000040000314200003143000000090000000000001464000020160000002800000084000023730110000000000000000S
042023051011404299Montilla                                                                                            004204200700022490000280001842800018428000000710000000000007565000101730000013500000172000122870210000000000000000S
042023051011404399Montoro                                                                                             002102102600009203000100000736300007364000000390000000000003047000040690000003100000062000054200130000000000000000S
042023051011404499Monturque                                                                                           000200200700001933000020000160300001603000000030000000000000749000010510000001800000039000012400090000000000000000S
042023051011404599Moriles                                                                                             000200200700003673000040000300200003002000000150000000000001383000019310000002100000053000023820110000000000000000S
042023051011404699Nueva Carteya                                                                                       001301300700005347000060000443100004437000000090000000000001968000026380000003400000083000031000130000000000000000S
042023051011404799Obejo                                                                                               002102101200002054000030000171300001713000000130000000000000668000008730000001700000035000011170110000000000000000S
042023051011404899Palenciana                                                                                          003803800700001461000020000117400001174000000090000000000000602000008320000000700000017000010200090000000000000000S
042023051011404999Palma del Río                                                                                       005305303300020810000210001692600016926000008490000000000006643000089250000012800000215000106130210000000000000000S
042023051011405099Pedro Abad                                                                                          002102102600002809000040000234400002344000000010000000000001138000015060000000900000037000017800110000000000000000S
042023051011405199Pedroche                                                                                            005405403200001481000020000130600001306000000000000000000000636000008530000002000000025000010360090000000000000000S
042023051011405299Peñarroya-Pueblonuevo                                                                               005205203200010419000130000883700008837000000230000000000003064000042590000004500000074000053560170000000000000000S
042023051011405399Posadas                                                                                             005305303300007267000080000590300005903000000240000000000002503000033860000005000000070000038480130000000000000000S
042023051011405499Pozoblanco                                                                                          005405403200017102000200001362600013626000000570000000000005773000078180000012400000238000096520170000000000000000S
042023051011405599Priego de Córdoba                                                                                   005505500700022092000320001822700018222000000480000000000006117000086970000024900000221000105330210000000000000000S
042023051011405699Puente Genil                                                                                        000200200700029748000350002343000023440000000490000000000008188000113020000015900000302000138120210000000000000000S
042023051011405799La Rambla                                                                                           004204200700007525000080000618900006189000000400000000000002942000039900000004900000079000046450130000000000000000S
042023051011405899Rute                                                                                                003803800700009801000120000780300007803000000320000000000002956000043820000005800000094000052480130000000000000000S
042023051011405999San Sebastián de los Ballesteros                                                                    004204200700000835000010000069700000697000000010000000000000368000004550000003000000012000005140070000000000000000S
042023051011406099Santaella                                                                                           004204200700004637000060000370600003706000000070000000000001434000019960000004400000106000023940110000000000000000S
